 | ﻿1
00:00:00 | WWW.MY-SUBS.COM ﻿1
00:01:07 | Good morning s...
00:01:10 | A cruel person wrote these.
00:01:13 | A cruel person is going to put you back in bed.
00:01:21 | Do you remember how much I loved this bed when we got it?
00:01:24 | - I do. - Hmm.
00:01:26 | Now I want to set it on fire and laugh while it burns.
00:01:29 | That sounds dangerous, and bed rest is important.
00:01:31 | - It prevents the cervix from... - From having a life.
00:01:35 | Max, my cervix is so bored.
00:01:40 | Thank you for doing this.
00:01:44 | All of it.
00:01:49 | How's the couch?
00:01:52 | - Really good. - Hmm?
00:01:54 | Yeah, it's a little bit better than the bed,
00:01:55 | to be honest.
00:02:00 | I want to be ready, Max.
00:02:03 | I want to want you back.
00:02:06 | I'm just... I'm not...
00:02:12 | I got all the time in the world.
00:02:16 | Synced & corrected by -robtor- www.MY-SUBS.com
00:02:51 | Do you mind if I ask how long your foot's been hurting?
00:02:54 | It's nothing. I'm fine.
00:02:58 | I'm a doctor at New Amsterdam
00:03:00 | - right across the street. - No.
00:03:02 | Maybe you could take a walk with me. I could have a look at that.
00:03:05 | Maybe you could leave me alone.
00:03:07 | Your foot is badly infected.
00:03:09 | If you don't do something about it, it's going to get
00:03:10 | - a lot worse. - Can you get away from me?
00:03:23 | I love soil. Do you want to know why?
00:03:27 | I am at the edge of my metaphorical seat.
00:03:29 | Because it contains <i>mycobacterium vaccae,</i>
00:03:31 | which has been proven to promote serotonin production,
00:03:33 | which acts as a natural antidepressant.
00:03:36 | So does that hat.
00:03:38 | Can't bring me down, my friend. Not today.
00:03:40 | The HCC has funded my proposal.
00:03:42 | After two years, they funded it!
00:03:44 | - For the community garden? - Yes, exactly.
00:03:47 | You know, horticultural therapy dates back
00:03:48 | to ancient Mesopotamia, and... uh,
00:03:50 | oh, my gosh, are those your little homemade Indian donuts?
00:03:52 | They are not donuts. They are laddus.
00:03:55 | Well, I don't mind if I "laddu."
00:03:56 | They are not for you. They are for someone else.
00:04:01 | Not the girl from the coffee shop, though.
00:04:03 | Her name is Ella.
00:04:05 | It's my gesture of gratitude
00:04:06 | for someone who showed me kindness.
00:04:08 | Okay, let me see if I got this straight:
00:04:09 | you're gonna give pastries to someone who works
00:04:11 | - in a pastry shop. - Laddus are not pastries.
00:04:13 | - They are sweets. - Oh.
00:04:15 | Well, that doesn't make it any less weird.
00:04:27 | Gladys?
00:04:29 | Gladys, what is this?
00:04:30 | Volt cola swag. A gift from the new sponsor.
00:04:34 | What new sponsor?
00:04:36 | For your community garden.
00:04:45 | Bloom? What's the urgent page?
00:04:49 | Got an EMS notification
00:04:51 | asking to have thoracic standing by.
00:04:52 | - You okay? - Headache.
00:04:57 | 45-year-old man, acute onset tearing chest pain.
00:05:00 | Heart rate 110; 140 over 56, right arm;
00:05:03 | 100 over palp, left. Respiration's 18.
00:05:05 | - Gave him nitro... - Dissecting aortic aneurysm.
00:05:10 | Mateo?
00:05:13 | Hope you're on your game today, Floyd.
00:05:17 | - Who's... - Mateo Fernandez.
00:05:20 | The cardiothoracic from Baptist?
00:05:22 | - Yeah. - Isn't this week...
00:05:24 | Yeah. Hey, get Max down here now.
00:05:26 | Oh.
00:05:28 | Okay, as I fit you for the radiation mask,
00:05:31 | remember you have to keep absolutely still.
00:05:35 | I always found stillness to be a highly overrated
00:05:37 | - human ability. - Consider it practice
00:05:40 | for when we aim high energy external beam radiation
00:05:42 | at the cancer in your throat.
00:05:44 | If you move then, you die.
00:05:48 | Has anyone ever told you you would make
00:05:50 | a great James Bond villain?
00:05:52 | Uh, Max, you cannot move.
00:05:55 | Right.
00:05:57 | So, uh, come here often?
00:05:59 | That includes your mouth.
