 | ﻿1
00:00:00 | WWW.MY-SUBS.COM
00:00:00 | - I'll be targeting your cancer directly
00:00:02 | with stereotactic body radiotherapy...
00:00:04 | With simultaneous intravenous Cis-Platinum.
00:00:05 | Two-cycle regiment.
00:00:07 | And I may throw in an EGFR inhibitor like cetuximab,
00:00:09 | depending on how your tumor responds.
00:00:11 | Works for me.
00:00:12 | In English, please.
00:00:15 | It sounds very important but, um,
00:00:18 | all I care about is...
00:00:21 | Could he...
00:00:26 | What are his odds?
00:00:27 | - Georgia. - No, Max.
00:00:29 | I need an answer from your doctor.
00:00:32 | Georgia, with cancer,
00:00:37 | the odds are difficult to quantify.
00:00:40 | But I believe that this is our very best option.
00:00:45 | So why haven't we started already?
00:00:49 | Yes, Max,
00:00:51 | why haven't we started already?
00:00:54 | B-Because there's a lot of pre-treatment procedures
00:00:57 | I still need to get done.
00:00:58 | Like, um, radiation tattoo,
00:01:00 | - oral surgery... - Oral surgery?
00:01:02 | Max's back molars will fall into the field of radiation
00:01:05 | and they'll need to be extracted.
00:01:07 | Um, so why haven't we done that yet?
00:01:12 | Because I have been kicking this thing down the road,
00:01:14 | a little bit.
00:01:16 | To try to buy myself a little more time,
00:01:19 | you know, as... as medical director.
00:01:24 | Which, now that I say out loud,
00:01:26 | in front of my wife, does not sound like the excuse
00:01:29 | it sounded like in my head.
00:01:31 | - Hmm, ya think? - Yep.
00:01:34 | Could he have his molars out today?
00:01:36 | That's up to him.
00:01:38 | We have the big Domino Transplant today.
00:01:39 | The run-through's in 30. I can't, uh... if I'm...
00:01:43 | But I think I could because once they start,
00:01:47 | they don't really... they don't really need me.
00:01:49 | And I could probably be free as early as tomorrow.
00:01:53 | Today...
00:01:55 | Early afternoon.
00:01:57 | - You're on board. - I'm on board.
00:01:59 | - Just like that? - Just like that.
00:02:06 | - Domino day. - Yeah.
00:02:07 | - You excited? - Um, eh.
00:02:10 | Transplant surgeons get to have all the fun.
00:02:12 | I don't even get to sing back-up.
00:02:15 | You know, I had a really good time last night.
00:02:17 | And the night before.
00:02:18 | I hope you did too.
00:02:20 | Mm.
00:02:22 | What?
00:02:25 | I did.
00:02:27 | I really like where this is going.
00:02:28 | You know? You and me.
00:02:31 | You sound so surprised.
00:02:32 | No, no, I, um, I just didn't think
00:02:36 | I don't know.
00:02:38 | I don't know what I thought.
00:02:40 | Well, when Lauren introduced us I had a feeling.
00:02:47 | So, uh, what do you say?
00:02:50 | We probably shouldn't walk in together, right?
00:02:52 | Oh, yeah. It's way too soon.
00:02:54 | I don't know about you, but on our side of the building
00:02:57 | we're real gossipy.
00:03:07 | I'll see you later.
00:03:18 | Synced & corrected by -robtor- www.MY-SUBS.com
00:03:22 | Haven't I told you about drinking those things?
00:03:24 | You end up bouncing off the walls
00:03:25 | and annoying the other nurses.
00:03:26 | Yeah, that's part of my charm.
00:03:28 | Besides, I need it.
00:03:29 | Pull another double?
00:03:30 | Bronx General.
00:03:31 | "Knife and Gun Club?"
00:03:33 | A guy's gotta eat.
00:03:34 | Man, their ED never stops.
00:03:35 | They need docs?
00:03:37 | Since when are you hard up for cash?
00:03:39 | I'm not. It sounds like fun.
00:03:40 | Don't you just ever wanna go home and do nothing?
00:03:42 | Now where's the fun in that?
00:03:47 | Hi, I'm Dr. Bloom.
00:03:49 | Diego. My daughter, Gianna.
00:03:52 | Hi, Gianna.
00:03:54 | So you're having some trouble breathing?
00:03:56 | It's getting worse.
00:03:58 | I waited too long.
00:04:00 | - We can't... - Papa is...
00:04:03 | Worried...
00:04:05 | you can't help us.
00:04:07 | You don't have insurance?
00:04:09 | Undocumented.
00:04:11 | Well, we treat everyone here.
00:04:13 | You're safe from ICE.
00:04:16 | If that's what you're worried about.
00:04:18 | They won't even know you were here.
00:04:20 | Come on. Pop, up Gianna. Let's have a listen.
00:04:27 | "Sandstorm," huh?
00:04:28 | You... know it?
00:04:31 | Obsessed.
00:04:33 | Been collecting single issues since the '90s.
00:04:37 | Deep breath.
00:04:40 | Again.
00:04:44 | Good. Good.
00:04:50 | You, uh, have you seen the platinum issue?
00:04:53 | Gemini, she steals the Halter Cross
00:04:56 | from the fourth dimension. It's wicked.
00:04:58 | Gemini's... my favorite.
00:05:05 | I'll be right back.
00:05:09 | Casey, I need a chest x-ray,
00:05:11 | and I need you to page Reynolds.
00:05:13 | I need him now.
00:05:23 | You got anything that will anchor the roll?
00:05:25 | Ooh, science project?
00:05:28 | Yeah, living that extra credit dream.
00:05:30 | Yeah, I can see that.
00:05:32 | Domino run-through.
00:05:34 | - No time for chitchat. - Yes, I know.
00:05:35 | Do you always have to be such a buzzkill?
00:05:39 | How is she being a buzzkill?
00:05:41 | Oh, um... well, do you remember how
00:05:43 | I said I was gonna try to pull some strings for Blanca?
00:05:48 | You couldn't do it. Figured.
00:05:49 | Mmm, oh, you figured, did you?
00:05:52 | Yeah, well, figure this,
00:05:54 | my friend at Family Services got Blanca named
00:05:56 | an Emergency Foster Provider.
00:05:59 | Boom.
00:06:02 | She had a site visit this morning.
00:06:04 | Boom.
00:06:05 | Guess what else.
00:06:07 | Something that ends in "boom?"
00:06:09 | Uh, yeah. She passed with flying colors.
00:06:14 | You got a home.
00:06:22 | Really?
00:06:24 | Yes.
00:06:27 | They can't take it back?
00:06:28 | No, there are no backsies on this boom.
00:06:31 | Okay, by this time tomorrow,
00:06:33 | you're gonna be moving into your brand new digs.
00:06:36 | Trust me, it's good. All right?
00:06:39 | Yeah.
00:06:41 | Okay, I better go before I have to relocate.
00:06:44 | I'll see you later.
00:07:22 | - Dr. Albert? - Here.
00:07:23 | - Dr. Franz? - We're here.
00:07:25 | We've got Pittsburgh and Newark.
00:07:27 | Morning. Uh, Max Goodwin here.
00:07:29 | I'm the new Medical Director at New Amsterdam,
00:07:31 | and just to confirm, you are both in charge
00:07:33 | of your respective harvest teams?
00:07:35 | - Yes. - Correct.
00:07:36 | Great. Dr. Sharpe here has been
00:07:39 | working on this project for the last seven months,
00:07:41 | so it is our job to not screw it up for her.
00:07:44 | To that end, I would like to take everyone
00:07:47 | through the Domino Transplant Chain one last time
00:07:49 | set to the illustrious tunes of Mr. Van Morrison.
00:07:52 | Max.
00:07:54 | I'm just getting everyone pumped for the dry run.
00:07:55 | Am I right, Newark?
00:07:59 | Not a Van Morrison fan. What about Pittsburgh?
00:08:02 | Yeah, all right, moving on.
00:08:03 | We have six patients
00:08:05 | receiving partial liver transplants today,
00:08:07 | and, uh, six living donors from three states.
00:08:09 | Our first donor surgery will be Tanya Mayer.
00:08:12 | She just arrived at JFK.
00:08:14 | Dr. Kapoor is running point on her.
00:08:16 | Except Tanya isn't a match for her brother, Matthew.
00:08:18 | So a lobe of her liver will be going to Aminah Ali.
00:08:22 | My patient. Aminah is the anchor patient.
00:08:25 | Her HLA factors were difficult to match.
00:08:27 | That's why it took so long to find her a donor.
00:08:28 | Each of our recipients couldn't find a donor match
00:08:30 | within their own families, so their families agreed
00:08:32 | to donate to someone else who would be a match for them.
00:08:35 | Aminah's husband, Tariq, will donate to Francis Potter.
00:08:39 | His mother, Lily Potter, will then donate
00:08:41 | to Beck Newman.
00:08:42 | Omar Kahn in Newark will donate to Lisa Verdad
00:08:46 | here at New Amsterdam.
00:08:48 | Mina Verdad will donate to Gil Hess.
00:08:50 | And last but not least, to close the loop,
00:08:53 | Peter Stern in Pittsburgh will donate
00:08:55 | to our very own, Matthew Levy.
00:08:58 | It's like Hands Across America but with livers.
00:09:04 | Oh, yeah. I'll be here all week, Newark.
00:09:06 | Thank you.
00:09:07 | Wow.
00:09:08 | Um, all these surgeries are time sensitive.
00:09:10 | All right, let's, uh, give this our best shot.
00:09:13 | And Dr. Sharpe... bravo.
00:09:19 | Knock, knock.
00:09:21 | How's the superstar doing today?
00:09:25 | So happy the waiting's finally over.
00:09:27 | Dr. Sharpe, back when Aminah was going through chemo,
00:09:29 | I used to hate seeing you.
00:09:31 | But now...
00:09:35 | - Oh. - Tariq, she's a doctor.
00:09:36 | Have some respect.
00:09:38 | Sorry.
00:09:39 | She's like family, umi.
00:09:41 | Is the young lady who's donating here yet?
00:09:43 | We would like to meet her.
00:09:45 | Tanya should be arriving any moment.
00:09:57 | Hey, T.
00:10:00 | You're looking good.
00:10:03 | How are the kids?
00:10:05 | You know, they each have their own bedroom now.
00:10:08 | So they kinda love that.
00:10:11 | Until they told me you'd landed...
00:10:14 | I wasn't sure you'd get on that plane.
00:10:18 | Me either.
00:10:23 | But I got over it.
00:10:24 | It's for a good cause, right?
00:10:31 | Family.
00:10:35 | So this part of my liver,
00:10:38 | why can't it go straight to Matty?
00:10:39 | You're not a donor match for your brother.
00:10:42 | The same is true for everyone in the chain.
00:10:44 | Not a match for their own family
00:10:46 | but a match for someone else's.
00:10:49 | Sounds complicated.
00:10:50 | It is.
00:10:52 | But also very simple in the end.
00:10:55 | Everyone lives.
00:11:00 | Where's Reynolds this time?
00:11:01 | We're not doing this again, are we?
00:11:03 | He's busy.
00:11:04 | He's been busy for the past three days,
00:11:06 | whenever I need a consult.
00:11:08 | Gianna, this is Dr. Flores.
00:11:10 | She specializes in cheekiness and lungs.
00:11:14 | Cool.
00:11:15 | Do you know what's wrong with my daughter?
00:11:17 | I do.
00:11:19 | Scattered interstitial infiltrates
00:11:20 | on the chest x-ray.
00:11:40 | Dr. Bloom.
00:11:49 | We miss you, Mommy.
00:11:51 | Hope you have a good surgery.
00:11:56 | Hello, Ms. Mayer. I'm Dr. Frome.
00:11:58 | We spoke on the phone.
00:11:59 | You have to do some kind of psych evaluation?
00:12:02 | I do, yes.
00:12:03 | Just to, you know, make sure
00:12:04 | that you understand what you're getting into
00:12:06 | before you give your liver away.
00:12:07 | Part of my liver.
00:12:10 | Right, yes.
00:12:12 | One step ahead of me. Good.
00:12:13 | Okay, just a few questions that aren't
00:12:16 | on the forms you sent me.
00:12:18 | First, I need to confirm that you are doing this
00:12:21 | of your own free will.
00:12:22 | Under no pressure from anyone else.
00:12:24 | I'm doing this because my brother asked me to.
00:12:29 | Siblings, am I right?
00:12:34 | Do you have a brother, Dr. Frome?
