 | ﻿1
00:00:00 | WWW.MY-SUBS.COM
00:00:02 | I gotta get this hospital ready for
00:00:03 | the worst storm that we've seen in
00:00:05 | I don't know how many years.
00:00:06 | If you pull me off, won't I die?
00:00:09 | If we stay here, you definitely will.
00:00:13 | Get me a gurney!
00:00:16 | If people can't get to this hospital,
00:00:17 | then we need to bring this hospital to them.
00:00:19 | Max, as your doctor,
00:00:20 | I cannot let you traipse through a storm.
00:00:22 | And I will take care of myself
00:00:24 | because I love my doctor.
00:00:26 | Honey, I'm sorry,
00:00:27 | but it's never gonna work out between you and Max.
00:00:30 | We need to talk.
00:00:31 | This thing between us...
00:00:41 | Max.
00:00:42 | Uh, we lost power.
00:00:44 | Shouldn't the generator be coming on?
00:00:45 | Any second.
00:00:46 | What's happening?
00:00:48 | Um, sorry folks. It appears we lost power,
00:00:51 | but the generator should be kicking in shortly.
00:00:53 | Is everyone all right?
00:00:55 | My baby's cold. Can I get a blanket?
00:00:57 | Newborn?
00:00:58 | My husband couldn't get here for her birth,
00:01:00 | and we've been discharged.
00:01:01 | The insurance company wouldn't let us stay.
00:01:03 | It's okay. Here, just take my coat,
00:01:04 | and I'll get you a blanket as soon as possible.
00:01:07 | - Is the heat coming back on? - Yeah, shortly.
00:01:11 | Come on in, guys. Just head right over here.
00:01:13 | We're gonna fix this.
00:01:14 | - Max. - Yeah?
00:01:16 | The generator should have kicked in by now.
00:01:18 | The circulatory machines, the ventilators...
00:01:20 | Okay, just do a quick status run,
00:01:22 | check all the wards, and I'll meet you in the ED.
00:01:23 | - No... should someone else... - I'm fine.
00:01:30 | You wanted to tell me something.
00:01:34 | It can wait.
00:01:45 | Synced & corrected by -robtor- www.MY-SUBS.com
00:01:54 | - Henry. - Dr. Goodwin.
00:01:56 | - How many on maintenance tonight? - You're looking at him.
00:01:58 | Why isn't the generator coming on?
00:01:59 | I'm on my way to find out, but it looks like
00:02:01 | the entire lower Manhattan grid is down.
00:02:03 | Every minute we're without power...
00:02:05 | - No, I get it. - Patients will die.
00:02:10 | - Status? - Improvising.
00:02:12 | Call it out, April.
00:02:14 | Mr. Ayers, blood pressure: 130/75.
00:02:18 | Pupils sluggish to react.
00:02:22 | We have someone on each of the ventilator patients
00:02:23 | working an AMBU bag, taking pulses,
00:02:25 | visually monitoring stats and meds...
00:02:27 | Uh, what do you need?
00:02:28 | Besides power? More people.
00:02:30 | Since the storm, we've been working with a skeleton crew.
00:02:34 | Thermal socks. We have to clean the feet.
00:02:38 | Keep his clothes on for the time being.
00:02:39 | No monitor. No suction.
00:02:41 | No cautery.
00:02:43 | But you still have me, right?
00:02:45 | Oh, yeah, holding firm.
00:02:47 | Hey, can we get a battery-powered fan?
00:02:50 | Reynolds.
00:02:51 | It's all good, Dr. Sharpe.
00:02:53 | I'm, uh, holding Hugh's heart together with my fingers,
00:02:57 | but without power, we've got no cardiopulmonary bypass...
00:03:00 | No way to titrate anesthesia.
00:03:02 | We can't operate without them.
00:03:03 | Max is working on the generator.
00:03:06 | All right.
00:03:07 | How are you doing, sir?
00:03:09 | Oh, you know... meh.
00:03:13 | Can I get another micro-insertion kit?
00:03:16 | On it.
00:03:20 | Hey. How you doing in there, Burl?
00:03:23 | Get me out of here.
00:03:26 | - It's tight! - Yeah.
00:03:28 | Hey, guys, is there any way to slide this out
00:03:31 | while the power's off?
00:03:32 | We're safer with him in the machine.
00:03:33 | - Danny, come on. - He's here 'cause
00:03:35 | - he attacked a guard. - No, he's not.
00:03:36 | He's here because a guard bashed his head in.
00:03:38 | - In self-defense. - Oh, give me a...
00:03:39 | The guard is my friend. Your patient went off.
00:03:45 | Hey, hey, Burl... Burl, listen.
00:03:47 | Take a few deep breaths for me, okay, buddy?
00:03:49 | - Deep breaths? - We're all in this together.
00:03:51 | All right? Burl?
00:03:52 | - Iggy. - Yeah.
00:03:54 | It's midnight. Why wasn't this scheduled for earlier?
00:03:56 | We only bring the prisoners at night, ma'am,
00:03:58 | for everyone's safety.
00:03:59 | Can you handle this?
00:04:01 | Sure, we're all in this together.
00:04:05 | Yeah.
00:04:10 | Okay, Burl.
00:04:12 | Get me out!
00:04:40 | Oh, um,
00:04:41 | - where's that sound coming from? - Elevator?
00:04:43 | Can you tell everyone to get to ED? I'll be there in a minute.
00:05:00 | - Hello? - Helen?
00:05:03 | Vijay?
00:05:06 | Yes, I'm here with Dr. Hartman.
00:05:08 | You know my name's Clint, right?
00:05:10 | - Are you okay? - Yes, we are fine.
00:05:14 | You don't look fine. Are you claustrophobic?
00:05:17 | Hardly. It's been a very long day,
00:05:20 | and I'm stuck in this very small box with you.
00:05:25 | Helen, why hasn't the generator kicked in?
00:05:27 | - We're working on it. - Keep working on it.
00:05:34 | What? Talk to me, Henry.
00:05:36 | I mean, this thing took a big hit
00:05:38 | during Hurricane Sandy.
00:05:39 | A lot these parts, they should have been traded out.
00:05:41 | - And they weren't? - It doesn't look like it.
00:05:43 | I mean, this fuel oil pump is failed,
00:05:46 | this main pipe that's still cracked...
00:05:48 | So?
00:05:49 | So, I could really use some more light down here.
00:05:53 | Wait. Wait.
00:05:55 | I just remembered something.
00:05:58 | I hope it's still here.
00:06:04 | This... this could buy us some time.
00:06:07 | - What is it? - Emergency battery.
00:06:09 | They got it after Sandy.
00:06:10 | Is it enough to power the hospital?
00:06:12 | No way, but it could cover a floor for an hour.
00:06:19 | Okay, we got a battery. That'll buy us
00:06:21 | a little breathing room while Henry keeps working.
00:06:23 | Reynolds is literally holding a man's heart
00:06:25 | - together with his fingers. - Yeah, I understand.
00:06:27 | And we got a NICU full of babies
00:06:28 | getting colder by the minute.
00:06:30 | I can buy us a little juice for one floor for one hour.
00:06:33 | Okay, so ICU, ventilators, IV pumps?
00:06:35 | - Yes. - Yes?
00:06:37 | What do you mean "yes"?
00:06:38 | We need to pick one. We need to triage.
00:06:40 | - Nope. - Shouldn't we be evacuating?
00:06:42 | - No. - To where? How?
00:06:44 | In this storm, we can't even get across the street.
00:06:45 | Yeah, it's true. She's right.
00:06:47 | We're one of the only hospitals with the, um...
00:06:49 | I was gonna say "with the lights still on," but...
00:06:52 | We could move everybody to the same floor.
00:06:55 | - Yes. - That's crazy.
00:06:56 | Well, why? We're not at capacity.
00:06:58 | - Uh... - Look, it's Helen's idea.
00:07:00 | But that's only because you won't let me triage.
00:07:02 | No triage. Look, Henry is having difficulty seeing.
00:07:04 | Would you grab a flashlight and meet us down there?
00:07:06 | Yeah, yes.
00:07:08 | - Max. - Huh?
00:07:09 | - We cannot... - We will.
00:07:19 | Yo, hand me those soft-grip pliers.
00:07:20 | Yeah, yeah, you got it.
00:07:22 | Going with the soft-grip. Here you go.
00:07:25 | So, are you gonna check those rotors or what?
00:07:27 | - Yeah, I'm doing it now. - Yeah, cool.
00:07:30 | Boom.
