 | ﻿1
00:00:00 | WWW.MY-SUBS.COM ﻿1
00:00:00 | Is that normal?
00:00:04 | - Okay, what does that mean? - What does what mean?
00:00:08 | You're sure, Doctor?
00:00:12 | Okay.
00:00:15 | - Thank you, Suzanne. - What did she say?
00:00:17 | A lot of things.
00:00:20 | Okay, like...?
00:00:23 | The placenta previa resolved.
00:00:25 | - It resolved? - It corrected itself.
00:00:28 | It corrected itself?
00:00:29 | I can have a natural childbirth.
00:00:31 | You don't have to repeat that part.
00:00:32 | This is amazing.
00:00:34 | Oh, my goodness, the baby.
00:00:36 | Sorry, I just... we're gonna have a birth right now.
00:00:37 | - There's more. - There's more?
00:00:39 | I am no longer chained to that hateful bed.
00:00:42 | Hate that bed. I think we should celebrate.
00:00:44 | I think we should rent a boat on the Hudson.
00:00:46 | I think we should go skiing in the Alps.
00:00:48 | I think we should just hike a mountain.
00:00:50 | Or we could just go for dinner.
00:00:52 | Yeah.
00:00:54 | Well, then would you maybe...
00:00:57 | join me for dinner tonight?
00:00:59 | Are you asking me on a date, Max Goodwin?
00:01:01 | Yes, I am, Georgia Goodwin.
00:01:05 | No, um...
00:01:07 | Crap, I can't.
00:01:08 | I have the fund-raiser for the hospital.
00:01:12 | Ouch.
00:01:13 | - Your favorite. - Hmm.
00:01:15 | This weekend?
00:01:18 | Maybe?
00:01:19 | This weekend.
00:01:21 | Definitely.
00:01:26 | Synced & corrected by -robtor- www.MY-SUBS.com
00:01:30 | - You're in a good mood. - It's a good news kind of day.
00:01:34 | Let me guess...
00:01:35 | getting ready for tonight's schmooze-fest.
00:01:37 | Georgia's off bed rest. The baby is healthy.
00:01:39 | We are gonna start dating again.
00:01:42 | I know the order of that's a little weird,
00:01:44 | but, uh, I'm excited.
00:01:46 | You... you still haven't told her.
00:01:48 | You know, it just...
00:01:50 | it wasn't the right moment.
00:01:53 | There's never a right moment
00:01:55 | to tell someone you have cancer.
00:01:57 | Just tell them.
00:01:58 | Can't she just have one day without worrying about someone?
00:02:02 | About me, about the baby?
00:02:03 | Just one day.
00:02:06 | You swore that you would tell her
00:02:08 | once she was out of the woods.
00:02:09 | She's out.
00:02:12 | I can't tell her today.
00:02:14 | You know why?
