 | ﻿1
00:00:00 | WWW.MY-SUBS.COM ﻿1
00:00:01 | So, I've got this friend and, uh, great guy,
00:00:04 | a little stubborn, but, as life would have it,
00:00:06 | - he's got cancer. - Is that so?
00:00:07 | Don't worry. He's keeping his head up, staying positive.
00:00:09 | - And, uh, here's the thing... - Oh, there's a thing.
00:00:12 | I assumed cancer was the big twist.
00:00:14 | No, see, my friend recently got this new doctor
00:00:16 | who, uh, as it turns out, is making it really hard
00:00:18 | for my friend to stay positive.
00:00:19 | Hang on, this sounds like somebody I know.
00:00:21 | Really? Weird.
00:00:22 | Not only did she put my friend on
00:00:23 | an impossible to maintain schedule,
00:00:25 | but now she's insisting that my friend get a feeding tube.
00:00:28 | So he was really hoping
00:00:30 | that he could get a second opinion.
00:00:32 | And your friend wouldn't also happen to be
00:00:33 | the medical director of a major public hospital
00:00:35 | - in New York, would they? - Well, uh, he asked me
00:00:36 | to keep his name out of it.
00:00:38 | - Max, I... - No, no names.
00:00:39 | That would be a huge betrayal
00:00:41 | to my incredibly private friend.
00:00:42 | But my friend was wondering
00:00:43 | if maybe you could talk to Dr. Stauton
00:00:46 | and change her mind?
00:00:47 | - I will do no such thing. - I'm this way.
00:00:50 | Which is why I'm going this way.
00:00:52 | Okay. But she's totally gone rogue.
00:00:55 | Okay? She peppers all her diagnoses
00:00:57 | - with basketball analogies. - Sometimes you've just got
00:00:59 | - to shoot from mid-court. - No. Not you too.
00:01:01 | Max, you're on the fourth foul
00:01:03 | - and there are no timeouts left. - Okay, this basketball thing
00:01:04 | is spinning out of control.
00:01:06 | Just a second opinion on a feeding tube.
00:01:07 | That's all I'm asking for.
00:01:08 | - Okay. You want my second opinion? - Yes.
00:01:10 | You need to listen to your actual doctor.
00:01:16 | I see what you did there.
00:01:23 | - If it makes you feel better... - I'm sure it won't.
00:01:26 | Think of the feeding tube like the sixth man
00:01:28 | coming off the bench when the starters need a break.
00:01:30 | Really? 'Cause I see it more like a pipe
00:01:33 | protruding from my stomach, spilling my morning coffee.
00:01:36 | The chemo has left you with frequent nausea.
00:01:38 | The radiation has burned your throat.
00:01:40 | As a result, you have been eating less.
00:01:42 | You've lost five pounds in one week.
00:01:45 | Malnutrition negatively affects your treatment.
00:01:48 | It can also impair muscle function,
00:01:50 | decrease immunoresponse,
00:01:52 | and amass dangerous toxicity levels within your body.
00:01:57 | Max, inserting a feeding tube will mitigate that.
00:02:06 | Okay, yeah.
00:02:10 | Put me in, Coach.
00:02:12 | Synced & corrected by -robtor- www.MY-SUBS.com
00:02:16 | These site visits are really more of a formality
00:02:18 | at this point, so...
00:02:19 | I've been looking forward to it.
00:02:21 | Oh.
00:02:22 | - What's in the bag? - Oh, here we go.
00:02:24 | These are Jemma's favorites.
00:02:26 | They're from a little Trinidadian restaurant
00:02:27 | near the hospital the kids order from sometimes.
00:02:30 | Once, no joke, Jemma ate four of these.
00:02:33 | I mean, I might have helped a little bit, but...
00:02:35 | Hope you brought enough to share.
00:02:36 | No, no. There will be no sharing.
00:02:38 | Once I put these down in front of her, watch your fingers.
00:02:41 | - Hey, Jemma. - Hey, kiddo.
00:02:43 | How you doing, Jemma?
00:02:45 | I'm fine.
00:02:49 | Well, uh, I hope you're ready to be awesome
00:02:51 | because I brought doubles and kurma from Leelee's Roti Shop.
00:02:56 | Boom.
00:03:00 | I'm good.
00:03:03 | Okay, well, I'll leave them here on the counter
00:03:05 | if you want them later, okay?
00:03:13 | Everything's okay?
00:03:15 | Oh, she's just cramming for a test.
00:03:17 | - Oh. - Things have been great.
00:03:19 | So everything's okay with school?
00:03:21 | Yeah, her teachers at Jefferson
00:03:22 | say she's catching up.
00:03:24 | - And her friends? - I met most of them.
00:03:26 | Good kids. Creative, misfits, like Jemma.
00:03:30 | But they really seem to get each other.
00:03:32 | Seems to me she's settling in just fine.
00:03:35 | So Dr. Christiansen will finish up
00:03:37 | with the low pitches now.
00:03:39 | As before, raise your right hand if you hear a sound.
00:03:42 | If you don't, it's okay.
00:03:44 | This is to help us diagnose
00:03:46 | what's going wrong with the cochlear implant.
00:03:49 | Margot?
00:03:53 | Do you need a break? Is everything all right?
00:03:58 | She doesn't like tests.
00:03:59 | It's the device we are testing, not you.
00:04:01 | And if it makes you feel better,
00:04:03 | I will give you an A+. Hmm?
00:04:06 | Tori and I will be just outside the door.
00:04:08 | Okay.
00:04:10 | Okay, let's start.
00:04:13 | So, it's been nine months.
00:04:15 | We're still having problems?
00:04:18 | It's almost impossible to predict
00:04:20 | the rehabilitation period after a cochlear implant.
00:04:25 | I mean, we weren't expecting her to talk on the phone
00:04:28 | but she can't even take the subway without getting dizzy.
00:04:32 | She seems confused and sad.
00:04:35 | I know how it feels to see your loved ones in pain,
00:04:38 | but once we diagnose the issue with the device, we can fix it.
00:04:48 | Is everything okay?
00:04:50 | The implant seems to be functional.
00:04:51 | - Basal electrode responses? - All normal.
00:04:55 | So it's not the device, then what's the matter?
00:05:04 | - Dr. Reynolds. - Max.
00:05:06 | Dr. Reynolds.
00:05:07 | Why do I feel like the two of you are getting ready
00:05:09 | to throw me into an unmarked van?
00:05:11 | Heh. Your quarterly budget is three weeks late.
00:05:13 | Oh, yeah. See, what had happened was...
00:05:16 | Yeah, and if it's not done today,
00:05:17 | then cardiothoracic is going to have no budget
00:05:19 | - for next quarter. - Which means
00:05:21 | no surgical supplies, no surgeons,
00:05:23 | and no surgeries.
00:05:24 | Luckily for you, we have a Dora
00:05:27 | and Dora is going to, uh, help you.
00:05:29 | And by help you, I mean torture you until it's finished.
00:05:31 | Every line in perfect order, back-to-back.
00:05:34 | She's really kind of tough.
00:05:36 | So you are here by sequestered to this office
00:05:38 | until it's done or, um,
00:05:42 | you're dead, whichever comes first.
00:05:44 | - Wait, you mean now? - Mm-hmm.
00:05:47 | No, but... but they need me on the floor.
00:05:48 | - Uhp-uhp-uhp. - Can't somebody else do this?
00:05:50 | It's your department. Your budget.
00:05:53 | You get everything you want. You just have to ask for it.
00:05:56 | In a properly formatted Excel-generated spreadsheet.
00:05:59 | And Dora really excels at this.
00:06:02 | No, it's not funny? Okay.
00:06:03 | Well, smile and nod or pay the price later.
00:06:05 | Max, come on! I'm a doctor!
00:06:07 | Yeah, not without a budget.
00:06:08 | Shall we, Dr. Reynolds?
00:06:10 | Can I at least go to the bathroom first?
00:06:12 | Mm, I think you know the answer to that.
00:06:18 | Everybody out of the way. Yo! Clear the way!
00:06:22 | Jeez, Marie. I turn my back for two seconds...
00:06:24 | - It should've been you. - Oh, nice.
00:06:26 | - All right, what do you got? - Marie McNeil.
00:06:27 | 40-year-old female police officer
00:06:29 | - on foot when struck... - By a drunk driver.
00:06:30 | - Hit and run. - All right. We got it. Thanks.
00:06:32 | Motor vehicle struck right leg fracturing the femur.
00:06:34 | She bounced off the hood followed by the road,
00:06:36 | resulting in thoracic abrasions and contusions.
00:06:38 | She's going to be all right, right?
00:06:39 | Why don't you alert her family?
00:06:41 | Let them know where she is.
00:06:42 | I'm her partner. I'm her family.
00:06:43 | All right, let's get her to bay 29
00:06:45 | - and get Max down here now. - Hang in there, okay?
00:06:47 | Be okay. Please.
00:06:52 | Give us some room. She's okay.
00:06:58 | Yeah, I... I hear you, Commissioner. Of course.
00:07:00 | No, you have my word.
00:07:02 | Officer McNeil will receive the very best care possible.
00:07:04 | We've got everything under control.
00:07:06 | Yes. No, thank you, sir.
00:07:09 | - Police Commissioner? - The one and only.
00:07:10 | You ever experience a blue wave?
00:07:12 | Uh, sure. In Chinatown.
00:07:14 | Then you haven't experienced a blue wave.
00:07:15 | At New Amsterdam, when a cop is brought in,
00:07:17 | it's like his whole family comes with them,
00:07:19 | only that family is 3/4 of the NYPD.
00:07:23 | - As advertised. - I see what you mean.
00:07:25 | Uh, everyone? I'm Max Goodwin, the medical director.
00:07:28 | Hi, I appreciate that you want to support your colleague,
00:07:30 | but this is still a functioning ED.
00:07:31 | Go ahead. So we need to keep this area clear and calm,
00:07:34 | if at all possible.
00:07:36 | I'd like to ask everyone to move this vigil
00:07:37 | outside these doors. We really appreciate it.
00:07:39 | Leon Hargrow. 68. Probable DUI.
00:07:42 | Lacerations to left forearm.
00:07:43 | Chemical burns on his face and hands from the airbag.
00:07:45 | I didn't see. Where...
00:07:48 | Where... where am I?
00:07:51 | Any sign of head injury?
00:07:52 | Witnesses saw him swerving all over the road
00:07:54 | - before the accident. - That's him!
00:07:56 | That's the DUI who hit Marie!
00:07:58 | Someone call security.
00:07:59 | I think security is covered.
00:08:01 | You're going down for a long time, you hear me?
00:08:04 | - Easy, easy. - I know you can hear me!
00:08:06 | I'm gonna make sure you're locked up
00:08:07 | for the rest of your sorry-assed life!
00:08:09 | Easy! Get him back! Get him back!
00:08:11 | Back up! Back up, now!
00:08:13 | - You're not getting away! - Get him back! Get him back!
00:08:19 | Angelo's been Marie's partner going on eight years.
00:08:22 | These two are like sister and brother.
00:08:25 | He's messed up, but he was never going to do anything
00:08:27 | - to that driver. - You sure about that?
00:08:29 | What can I say?
00:08:32 | We take care of our own.
00:08:33 | Yeah, well, as long as you take care of Angelo,
00:08:35 | I got no problem with you guys being here.
00:08:37 | I'm sorry for the disruption. It won't happen again.
00:08:39 | Our full focus needs to be on Marie.
00:08:41 | Her recovery is what's important.
00:08:42 | Not to worry. He'll get it together.
00:08:44 | Thanks. I'll, uh, keep you updated
00:08:46 | as I learn more about her progress.
00:08:48 | - Thank you. - You got it.
00:08:49 | Hey, how's she doing?
00:08:51 | Stable-ish. She's pretty banged up.
00:08:54 | I'm waiting on a cardio consult.
00:08:57 | What about the driver? How's he doing?
00:08:59 | Waiting on lab results from his tox screen.
00:09:01 | We need to put some distance between him
00:09:03 | and Marie's partner.
00:09:05 | Driver's stable. He can move.
00:09:07 | Do it.
00:09:09 | - Where should we put him? - I cleared a bed in the ICU.
00:09:11 | He's still out.
00:09:13 | It is going to be one hell of a rude awakening.
00:09:40 | Oh, there he is! Just the boss I was looking for!
00:09:42 | Can I get an autograph on this?
00:09:43 | - You bet. - Thank you.
00:09:45 | Not everyone would sign their kidneys away like that
00:09:47 | but I really need the money, so thank you.
00:09:48 | Give me that. Another site visit for Jemma?
00:09:50 | I thought you just had one of these.
00:09:52 | Yeah, I thought you had cancer.
00:09:53 | Only on the inside.
00:09:54 | Okay, well, yeah, so
00:09:56 | I'm a little worried Jemma might be isolating.
00:09:57 | She literally said three words to me,
00:09:59 | went back in her room, and didn't come back out again.
00:10:01 | Can I give you my completely
00:10:03 | unqualified psychological diagnosis?
00:10:05 | - Sure, why not? - She's a teenager.
00:10:08 | Well, yeah...
00:10:23 | - Yo, can I get a consult? - Oh, thank God.
00:10:26 | How can I help?
00:10:27 | You can tell me who on your team
00:10:29 | - is available for a consult. - Me.
00:10:31 | Lab supplies and consumables. $14,400.87.
00:10:35 | Max, please.
00:10:38 | What do you got for me?
00:10:40 | This isn't fair.
00:10:41 | Look, if I had known
00:10:43 | it was going to be this much paperwork,
00:10:44 | I would've never signed up to be Chair.
00:10:46 | Ah, you didn't. I kind of forced you to be Chair.
00:10:48 | Sorry about that.
00:10:50 | Pull Hastings off her VATS procedure.
00:10:54 | Thank you.
00:10:56 | Nice try. Next line item?
00:11:07 | Is everything okay? Are you all right?
00:11:08 | I'm sorry.
00:11:12 | I'm usually not like this. Neither of us are.
00:11:14 | No, it's... it's...
00:11:17 | it's all right.
00:11:21 | I don't know what happened.
00:11:23 | We literally never fight.
00:11:26 | We met at a meditation workshop.
00:11:33 | Margo being able to hear,
00:11:35 | this was supposed to bring us closer together,
00:11:39 | but it's just driving us apart.
00:11:44 | Tori, I...
00:11:46 | I know someone who could help.
00:11:50 | Okay.
00:12:14 | Margot.
00:12:16 | Margot.
00:12:23 | I believe there may be issues that aren't related
