 | ﻿1
00:00:00 | WWW.MY-SUBS.COM
00:00:14 | Oh, I see how it is.
00:00:17 | Yeah, it's called strategy.
00:00:19 | Yeah, where I'm from it's called cheating.
00:00:21 | Uh, you all right, Willow?
00:00:24 | I swear, if they wrote a Broadway musical about me
00:00:27 | it would be called "The Sound of Mucus."
00:00:31 | Mine would be called, "Mama Mastectomy."
00:00:33 | - Ooh. - More like,
00:00:35 | "Thoroughly Mortal Millie."
00:00:36 | That's a good one.
00:00:38 | "The Phantom of the Operation."
00:00:43 | Willow, how long have you had that cough?
00:00:45 | Mine'd be, "Liver Let Die."
00:00:48 | Liver-less.
00:00:50 | Of course, that's a Bond film,
00:00:51 | not a Broadway musical,
00:00:53 | but unlike you, I'm cool with cheating.
00:00:55 | - She's right. - Well, actually,
00:00:56 | I was thinking of the Guns N' Roses song.
00:00:59 | So, Max, what's your cancer musical?
00:01:06 | What's the matter, Max? No jokes today?
00:01:08 | Where's your sense of tumor?
00:01:14 | Synced & corrected by -robtor- www.MY-SUBS.com
00:01:26 | Thank you, Andre. That was so brave.
00:01:30 | Nice connecting.
00:01:35 | Lauren, how about you?
00:01:39 | I know that you're still getting acclimated
00:01:41 | but we would love to hear from you.
00:01:45 | Your friend just visited?
00:01:49 | Maybe you want to talk about how that made you feel?
00:01:52 | No.
00:01:54 | But, um, thank you.
00:01:58 | Maybe at evening group.
00:02:02 | Have a beautiful morning, everyone.
00:02:05 | - Thanks for sharing, Andre. - Good session.
00:02:07 | Way to go.
00:02:09 | Yeah, hi. Come in. It's Martin.
00:02:11 | No, babe, I hear what you're saying loud and clear
00:02:12 | but she needs to try new things, all right?
00:02:14 | And plus, literally, there's nothing cooler
00:02:16 | that a kid could do.
00:02:19 | Yes, or an adult. You got me, okay?
00:02:21 | But she is going.
00:02:23 | Yes, I'll call you later. Love you.
00:02:27 | Husbands, am I right?
00:02:29 | Anyway, sorry about the mess. Me and Sameera are going
00:02:31 | for a sleep over at the Museum of Natural History later
00:02:33 | and I am so excited.
00:02:35 | I visited Lauren in rehab.
00:02:39 | Okay.
00:02:41 | Well, that happened.
00:02:42 | I shouldn't have done that.
