 | ﻿1
00:00:00 | WWW.MY-SUBS.COM ﻿1
00:00:02 | Look, I know we haven't talk in a while but...
00:00:05 | I have to tell you this, and...
00:00:09 | I don't know, you might not like it.
00:00:14 | What do you get when you...
00:00:17 | cross an elephant
00:00:20 | with a rhino?
00:00:26 | Elephino.
00:00:30 | Yeah.
00:00:31 | That's my first dad joke.
00:00:36 | Did you just kick?
00:00:39 | Hi, Luna.
00:00:42 | You know...
00:00:43 | three months from now,
00:00:44 | we get to do this in person.
00:00:46 | It's pretty cool.
00:00:50 | Time for our song.
00:01:22 | How can I help?
00:01:23 | Uh, well, there's candy machines in the pediatric ward.
00:01:26 | You know what's not good for kids before 9:00 a.m.?
00:01:28 | Does it start with C and end with childhood obesity?
00:01:30 | - Yes. - Consider them gone.
00:01:45 | I'm hiring six new therapists
00:01:47 | with training in CBT and DBT.
00:01:49 | And I'm starting a patient advocacy division
00:01:52 | because when I say things like CBT and DBT,
00:01:54 | patients have no idea what I'm talking about.
00:01:57 | Will this cost more money?
00:01:58 | Yes, but...
00:02:00 | who's with me?
00:02:05 | Ooh, uh, we need to talk about my waiting room.
00:02:07 | Thought we got rid of your waiting room.
00:02:09 | Well, the plan was for nurses
00:02:10 | to move patients straight to beds.
00:02:11 | Okay, I'm not seeing a problem.
00:02:13 | The plan requires nurses.
00:02:14 | Got it.
00:02:15 | More nurses.
00:02:43 | Health care is the number one cause of bankruptcy in America.
00:02:46 | Wow, you really know how to bring things down, don't you?
00:02:49 | Patients should know that their...
00:02:50 | hospital bills are negotiable.
00:02:52 | We should revise our Patient Bill of Rights.
00:02:54 | Love that idea. Way to bring things back up again.
00:02:57 | Okay.
00:02:58 | We need to provide better care
00:03:00 | with fewer resources.
00:03:02 | But I need your help.
00:03:05 | I need your ideas.
00:03:09 | Okay, I'm just gonna do this
00:03:10 | until somebody speaks.
00:03:11 | Is this jogging anybody's... Anyone?
00:03:14 | I'm gonna go ahead, it's gonna become a robot now.
00:03:16 | It's just gonna go downhill from here.
00:03:17 | I'll just keep on doing this.
00:03:19 | Does anybody have anything,
00:03:21 | just one idea?
00:03:23 | What about group appointments?
00:03:25 | Thank God.
00:03:27 | Yes. Please, share.
00:03:29 | You give people with related issues
00:03:31 | like diabetes or high blood pressure
00:03:33 | - one shared appointment... - ♪ And I'm so glad
00:04:05 | Time to go to work.
00:04:06 | Synced & corrected by -robtor- www.MY-SUBS.com
00:04:11 | 32-year-old woman collapsed
00:04:13 | with extreme shortness of breath and chest pain.
00:04:15 | Heart rate 140, respirations 34,
00:04:18 | BP 90 over 60.
00:04:19 | Took 100% O2 to keep her sats over 90.
00:04:22 | Where's Reynolds? Did anyone see what happened?
00:04:23 | I'm her father. We were at a fund-raiser.
00:04:26 | Jozette was accepting an award.
00:04:28 | Then she just shook and fell.
00:04:29 | We didn't know what to do.
00:04:31 | What you got?
00:04:32 | Holosystolic blowing murmur at the apex.
00:04:35 | What took you so long?
00:04:36 | Well, I'm the department chair now.
00:04:37 | - I've got stuff to do. - Like what?
00:04:39 | As soon as I figure that out, I'll let you know.
00:04:42 | You're right. Acute mitral regurgitation.
00:04:44 | - Trauma One. - Get a central line kit.
00:04:46 | Lisa, prepare me a Levo drip.
00:04:48 | Titrate to systolic at 90.
00:04:50 | On the count of three.
00:04:52 | One, two, three.
00:04:54 | Watch out.
00:04:59 | Yeah, oh, my gosh, my girls tested
00:05:01 | for their orange belts last night in karate.
00:05:03 | They're complete savages. I had no idea.
00:05:05 | I looked at... I took a video of it.
00:05:07 | Here. I'll show you.
00:05:09 | Or wait, did I email it to myself already?
00:05:10 | That's okay, I can imagine it.
00:05:12 | Oh, okay. Well, remind me to show it to you later, because it is
00:05:14 | intensely cute.
00:05:17 | Gosh, I'm always talking about my kids. What about you?
00:05:19 | - How come you never talk about yours? - I don't have any.
00:05:22 | Oh, I'm sorry, I just assumed that you...
00:05:23 | Life had other plans for me, and then it got too late.
00:05:26 | Okay, well...
00:05:28 | speaking of which, based on your extensive experience...
00:05:31 | You mean to say "old."
00:05:32 | Yes. Exactly.
00:05:34 | How long do you think this Max guy
00:05:36 | can shake things up before the dean steps in?
00:05:38 | Not long. Dean of medicine does not like
00:05:40 | things shaken up...
00:05:42 | based on my extensive experience.
00:05:44 | All right.
00:05:50 | Leo. Hi.
00:05:52 | How you doing? I'm Dr. Frome.
00:05:54 | But, uh,
00:05:55 | you can call me Iggy, all right?
00:05:56 | No need to be so formal.
00:06:01 | All right, so...
00:06:03 | I had a chat with your mom,
00:06:05 | and she told me that you're having a hard time
00:06:06 | staying awake
00:06:07 | and that, uh, you've been wetting the bed.
00:06:09 | Is that right?
00:06:11 | Okay.
00:06:13 | No big deal, you know?
00:06:15 | We can get to the bottom of this, easy-peasy.
00:06:17 | Okay?
00:06:23 | Let's see what we're looking at here.
00:06:24 | All right, says here you've been on...
00:06:27 | zotepine for the last few years?
00:06:30 | Is that right?
00:06:31 | Uh-huh.
00:06:33 | Did, uh, something happen at school?
00:06:36 | No? You sure about that?
00:06:38 | 'Cause zotepine, my friend, that is...
00:06:40 | that's big-time.
00:06:41 | That is no joke.
00:06:44 | Nothing happened that you want to tell me about?
00:06:46 | No.
00:06:48 | Okay, cool. Fair enough.
00:06:50 | All right. They've also got you on...
