 | ﻿1
00:00:00 | WWW.MY-SUBS.COM
00:00:30 | Uh, Dr. Candelario.
00:00:32 | Max.
00:00:33 | Either you're getting faster or I'm getting slower.
00:00:35 | Oh, since you're my boss, let's just say
00:00:37 | - I'm getting faster. - Oh, that's very kind of you.
00:00:39 | Thank you, by the way, for taking charge
00:00:41 | while Bloom's on vacation. I know it's short notice.
00:00:42 | - Vacation? - Yeah.
00:00:43 | About time.
00:00:45 | They took Dr. Bloom off the schedule for two weeks.
00:00:46 | It's not a problem.
00:00:48 | Uh, maybe add another two weeks.
00:00:50 | She's acquired a lot of vacation.
00:00:52 | In that case, I'd like to make a couple
00:00:53 | changes around here to make things more efficient.
00:00:56 | Efficient. I love efficient.
00:00:58 | What kind of efficient?
00:00:59 | First I wanna switch the nurses' scheduling
00:01:01 | to a seniority-based point system
00:01:02 | - Good. - It rewards loyalty.
00:01:04 | Nice.
00:01:05 | Second, I want ED to start using a supply chain
00:01:07 | tracking software for instant restocking of critical items.
00:01:10 | Smart.
00:01:11 | And third, no more double and triple shifts.
00:01:13 | Personnel need rest or people die.
00:01:16 | Sounds like you should be doing my job.
00:01:18 | Jumper off a six-story building.
00:01:20 | Landed on a parked minivan. 160 over 90, 158.
00:01:24 | Intubated in the field but with continued trouble
00:01:26 | oxygenating on 100%.
00:01:28 | Jumper landed on his chest.
00:01:30 | Obliterated the integrity of the chest wall.
00:01:33 | Absent breath sounds on the left
00:01:35 | - with tracheal deviation. - Grab me a blood gas kit.
00:01:38 | - I need a chest tube set up. - Thank you.
00:01:40 | Punch through the intercostal muscle and get a tube in.
00:01:41 | And...
00:01:44 | Got it. Run an I-STAT ABG.
00:01:46 | Thank you. Do we know who this guy is?
00:01:48 | Cell phone, wallet?
00:01:49 | Go ahead and start antibiotics prophylaxis.
00:01:50 | Another vet.
00:01:52 | It's a Marine.
00:01:54 | Alex Demos.
00:01:56 | War never ends.
00:01:57 | Battlefield rules. Treat now, mourn later.
00:02:01 | We need to know the volume of the evacuated wound.
00:02:06 | Synced & corrected by -robtor- www.MY-SUBS.com
00:02:23 | Billy, leave those people alone.
00:02:25 | We're gonna get kicked out of here.
00:02:28 | I hope we land somewhere with a bed.
00:02:30 | You were right. It's nice to be spontaneous.
00:02:34 | Nice enough to do it again?
00:02:36 | Yeah, you can't plan spontaneity.
00:02:44 | People are staring.
00:02:48 | Yeah, you're right.
00:02:50 | We should probably take this somewhere else.
00:02:57 | Absolutely not.
00:03:49 | Was I too loud?
00:03:50 | Where have you been hiding that voice?
00:03:53 | In the shower.
00:03:55 | We gotta take more showers together.
00:03:59 | - Sheesh. - Thank you.
00:04:01 | Where did you come from?
00:04:02 | Uh, Chicago.
00:04:05 | No, I mean, how did you end up in my life?
00:04:08 | Our friend Lauren introduced us.
00:04:10 | - Our friend Lauren? - Mm-hmm.
00:04:12 | I forgot.
00:04:16 | I...
00:04:19 | I what?
00:04:21 | Uh...
00:04:23 | I am going to take you to the greatest dinner tonight.
00:04:31 | Can't wait.
00:04:40 | I...
00:05:00 | - Don't. - What?
00:05:01 | Don't say it.
00:05:03 | I'm just gonna say this one thing.
00:05:06 | I tell Martin I love him, like, 97 times a day.
00:05:11 | That's it. I'm out.
00:05:14 | Have a good one.
00:05:27 | Dr. Kapoor.
00:05:28 | Neuro consult's in Bay 24.
00:05:31 | Something feels different around here.
00:05:36 | Calmer.
00:05:37 | Dr. Bloom's on vacation.
00:05:39 | I have a strict policy of calm efficiency.
00:05:42 | No hysterics, no yelling. Just simple patient care.
00:05:46 | Nothing makes me happier than the words "calm efficiency."
00:05:50 | Good.
00:05:51 | Then you and I are gonna make a great team.
00:05:53 | - Very good. - Uh, just one thing.
00:05:55 | I have a Ten D-or-D policy.
00:05:57 | You have ten minutes per patient to diagnose
00:05:59 | or discharge.
00:06:00 | Keeps the patients moving through.
00:06:01 | - Ten minutes? - Ten minutes.
00:06:04 | I don't think that's possible because...
00:06:06 | Rumination disorder, six and a half minutes.
00:06:11 | Ten minutes it is.
00:06:18 | Ah, just the man I wanted to see.
00:06:21 | Really? I haven't implemented any policies that even slightly
