 | ﻿1
00:00:00 | WWW.MY-SUBS.COM
00:00:24 | - Looking great. - Mm.
00:00:26 | Yeah, well, the secret is, uh...
00:00:29 | night sweats with aggressive vomiting.
00:00:32 | Dose-dense treatment's a bear, yes.
00:00:36 | But you can't knock these results.
00:00:38 | Hit me, coach.
00:00:39 | Your tumor is regressing, your polymorphonuclear cells
00:00:43 | are over 1,000 for the first time in a week,
00:00:45 | and your hemoglobin's in the normal range.
00:00:50 | I'd stand and cheer but, uh,
00:00:52 | I think I'd, you know, fall over.
00:00:55 | Max, you should feel good about this.
00:00:57 | Well, yeah. No, I do, I do.
00:00:58 | I just didn't know that feeling this good
00:01:00 | would feel quite this bad.
00:01:04 | Uh, Virginia?
00:01:06 | I'm, uh, cold all the time.
00:01:09 | Is that...
00:01:10 | Common side effect.
00:01:14 | Here.
00:01:15 | And we'll hook you up to some fluids.
00:01:17 | This is all good news. The chemo is working.
00:01:36 | Here looks good.
00:01:46 | Sir, do you know what floor your room is on?
00:01:49 | I can call someone to get help.
00:01:52 | Oh.
00:01:54 | Sorry, Dr. Goodwin.
00:01:56 | I didn't recognize you.
00:02:02 | Synced & corrected by -robtor- www.MY-SUBS.com
00:02:05 | <i>Science is about progress.</i>
00:02:06 | <i>Why are we still relying so heavily</i>
00:02:08 | <i>on methods developed 60 years ago?</i>
00:02:10 | <i>For the same reason we're still using penicillin</i>
00:02:13 | <i>and aspirin: because they work.</i>
00:02:15 | <i>In the future, when new techniques have taken hold,</i>
00:02:17 | we will look back and cringe
00:02:18 | at the barbarism of today's approach.
00:02:20 | And immunotherapy is one of these new techniques.
00:02:22 | - I think it will be. - But when?
00:02:24 | Cancer patients need effective treatments now.
00:02:27 | How much of the cancer population
00:02:28 | are your therapies actually helping... 1%?
00:02:30 | - More like 5%... - Ah.
00:02:31 | But some clinicians are doing even better...
00:02:33 | like Dr. Valentina Castro.
00:02:35 | She even practiced at New Amsterdam
00:02:37 | before Dr. Sharpe doubled down on older treatments...
00:02:39 | - Because they worked. - And forced Dr. Castro out.
00:02:42 | - Because hers didn't. - Dr. Helen...
00:02:44 | - Dr. Sharpe, please. - Dr. Sharpe.
00:02:46 | Can you tell us how you view Dr. Panthaki's methods?
00:02:50 | With pleasure.
00:02:54 | I can't believe how much I missed that.
00:02:56 | It used to be such a big part of my life.
00:02:57 | It was my life.
00:02:58 | You should come to Brussels with me.
00:03:00 | What, now? 'Cause I... kinda thought
00:03:02 | we were in the middle of something.
00:03:03 | Well, next week I'm presenting at a conference,
00:03:05 | but you should be up there with me.
00:03:08 | - Presenting? - Doing
00:03:10 | what we just did in that studio...
00:03:12 | Debating.
00:03:15 | More like wiping the floor with you.
00:03:17 | Pretty sure I just eviscerated your life's work
00:03:20 | with my life's work.
00:03:27 | Then I challenge you to a rematch.
00:03:29 | In Brussels.
00:03:34 | As long as we get to keep making out like this.
00:03:38 | Luke Bauer, previously healthy 17-year-old,
00:03:40 | status: post fall.
00:03:41 | Now complaining of left arm weakness
00:03:42 | and blurred vision. Normal and stable heart rate and BP.
00:03:44 | - Take him to trauma one? - Tell me which came first:
00:03:47 | the blurred vision or the fall?
00:03:49 | Uh, I tripped because I couldn't see.
00:03:50 | Take him to curtains.
00:03:51 | We're gonna take good care of you, Luke.
00:03:52 | All right, let's go.
00:03:54 | Yesterday I was handing out flyers,
00:03:57 | but I kept dropping 'em.
00:03:59 | Thought maybe I was just hungry, so I got a hotdog.
00:04:01 | Took one bite, and I started choking.
00:04:03 | You know, I could barely swallow.
00:04:05 | After I woke up, everything looked blurry,
00:04:07 | and that's when I tripped and fell.
00:04:09 | Botulism.
00:04:10 | - Back off, dude! - Sorry, uh...
00:04:12 | Max Goodwin. I'm the, uh, medical director.
00:04:16 | Just grabbing a quick thirst-quenching beverage.
00:04:18 | Uh, all the symptoms that you are experiencing
00:04:21 | are from a toxin produced by the botulism bacteria
00:04:24 | that is growing somewhere inside your body.
00:04:26 | Wow.
00:04:27 | Who knew talking could be this tiring?
00:04:30 | That adds up. I'll order the antitoxin.
00:04:33 | Yeah, I'll take care of him.
00:04:35 | Who's gonna take care of you?
00:04:40 | You're welcome to have a look yourself,
00:04:42 | but the concerns are pretty clear.
00:04:45 | You're being accused of forming a non therapeutic alliance
00:04:48 | with your patient, Avi Mantell.
00:04:49 | - Yeah. - As Deputy Medical Director,
00:04:51 | all personnel complaints come to my desk,
00:04:53 | so I'll be conducting the initial review.
00:04:55 | Okay. And after that?
00:04:58 | Let's hope there isn't anything after that.
00:05:00 | Yeah, okay. I trust the process.
00:05:03 | I, uh, pulled all the case files
00:05:05 | and therapy notes for Avi.
00:05:07 | Everything's there.
00:05:08 | - Great, thank you. - Yeah, you got it.
00:05:10 | We'll talk soon.
00:05:12 | Helen, hey, hey.
