 | ﻿1
00:00:00 | WWW.MY-SUBS.COM ﻿1
00:00:26 | Dr. Ryan to Pediatrics.
00:00:27 | Dr. Ryan to Pediatrics.
00:00:33 | - There he is. - Hey.
00:00:35 | - Right on time. - Reporting for duty.
00:00:37 | I half expected I'd have to physically drag you out
00:00:39 | of your office.
00:00:41 | Have you met the group?
00:00:42 | Uh... uh, no actually, uh...
00:00:44 | Come. Don't be shy.
00:00:46 | - Morning everyone. - Morning.
00:00:47 | - Hey. - This is Max.
00:00:49 | - It's his first day, so... - Yeah.
00:00:51 | Why are you in scrubs?
00:00:52 | - Oh, uh, I'm a doctor. - Mm, where?
00:00:55 | - Here. - Nice.
00:00:56 | I wish I could do chemo at Whole Foods,
00:00:58 | but we're not even allowed to use our phones.
00:01:00 | Mm-hmm.
00:01:01 | Uh, Max, this is Mr. Kiggens.
00:01:03 | - "Big Mike." - Yeah, clearly.
00:01:04 | That's Willow.
00:01:06 | Smart, bringing your own food.
00:01:07 | - No one delivers here. - Really?
00:01:09 | And Millie.
00:01:10 | Don't be scared, Max.
00:01:12 | We don't bite.
00:01:14 | Uh, no, that's... thank you, but I'm not, uh...
00:01:16 | I'm not scared.
00:01:17 | Okay.
00:01:19 | Hey, you know, why don't you join us?
00:01:20 | We need a fourth for euchre.
00:01:22 | You know, I would love to, but I actually got
00:01:24 | the, uh, to-go chemo.
00:01:25 | It's fewer calories, so...
00:01:27 | Max, it's three hours.
00:01:28 | You can't stay put for three hours?
00:01:30 | Yeah, no, I would, but you know me and sitting.
00:01:31 | It's just not a good... have a good game.
00:01:33 | Good luck out there.
00:01:38 | You know, a doctor with an IV pole
00:01:39 | is gonna frighten patients.
00:01:41 | That's a good point.
00:01:42 | Why don't we just, uh, do this.
00:01:47 | There we go.
00:01:48 | Meet Earl, my new sidekick.
00:01:50 | Oh, yeah, that's much better.
00:01:52 | - Right? - A smiling bag of poison.
00:01:54 | Yep, going full chemo.
00:01:55 | - Please don't say that. - Got it.
00:01:57 | Uh...
00:01:58 | I know that at some point I'm gonna be useless.
00:02:01 | Thanks for not disagreeing.
00:02:03 | Well, we both know what's coming.
00:02:05 | And, uh, after what happened in Cold Spring,
00:02:06 | I can't just let the hospital fall apart.
00:02:08 | I mean, I need to find someone
00:02:09 | who can, you know, take... take over
00:02:12 | when I'm, uh... when I can't...
00:02:17 | Will... will you be my deputy Medical Director?
00:02:20 | Sorry, I don't know why that sounded like
00:02:22 | I was asking you to prom.
00:02:26 | I'm flattered, of course.
00:02:30 | My friend Earl, here, doesn't think you look flattered.
00:02:33 | I've already cut back on my public appearances.
00:02:35 | If I cut back anymore, we're gonna start to lose funding.
00:02:38 | Okay, yeah. Well, think about it.
00:02:41 | Otherwise I'm gonna have to give my friend Earl, here,
00:02:43 | a sad face.
00:02:48 | Synced & corrected by -robtor- www.MY-SUBS.com
00:02:52 | Uh, was, uh, that our Medical Director
00:02:54 | attached to an IV of cis-platinum?
00:02:56 | Don't ask.
00:02:58 | Why are you here?
00:03:00 | Uh, tough one.
00:03:01 | Uh, because this is a hospital and I'm a doctor.
00:03:04 | You said that you were gonna take some time off.
00:03:07 | Well, that was before.
00:03:09 | I mean, Max needs my help, clearly.
00:03:12 | Sweetheart, this is important.
00:03:15 | You need to take care of yourself.
00:03:16 | And I am going to, okay?
00:03:19 | I'm just gonna do it without leaving the hospital.
00:03:22 | I flushed all my pills this morning.
00:03:24 | You know I'm going cold turkey?
00:03:26 | Yes, it is gonna suck for a while,
00:03:27 | but it's what I need to do.
00:03:30 | And not just for me. For Max.
00:03:33 | Oh.
00:03:34 | Ooh, triage. Gotta run.
00:03:45 | Damn it, Andy.
00:03:47 | Triage said an acute coronary syndrome in here.
00:03:49 | I did not use those words 'cause I don't know them,
00:03:52 | but it had to sound serious
00:03:53 | or they would have given me to one of your residents.
00:03:55 | Yeah, well, you nearly gave me an acute coronary.
00:03:58 | Did you do something new with your hair?
00:04:00 | All right, Andy, what's the story?
00:04:03 | My knee's been swelling up.
00:04:05 | I can't move it without...
00:04:07 | Patel, uh, let's... let's drain Andy's knee.
00:04:10 | Hey, take your time, LB.
00:04:12 | Clean sheets.
00:04:14 | Yeah.
00:04:22 | Tony, I know it's difficult to talk about the attack but...
00:04:26 | we should.
00:04:30 | Um...
00:04:34 | I was painting up in Mohonk.
00:04:38 | Lots of light.
00:04:40 | My dad came with me, so I was annoyed.
00:04:43 | I... I'd wanted to go solo.
00:04:47 | But it's good he was there,
00:04:49 | 'cause when I moved my easel near the tree line, I...
00:04:53 | I saw this shape.
00:04:55 | Okay.
00:04:57 | Tell me more about that.
00:04:59 | It was daytime.
00:05:01 | They're nocturnal, right?
00:05:04 | Yeah.
00:05:05 | It shouldn't have been there.
00:05:09 | But I saw it, and it just...
00:05:12 | it just stared at me.
00:05:14 | Mm.
00:05:16 | And then it started running...
00:05:18 | right at me...
00:05:20 | And then I turned and ran, and I'm fast.
00:05:23 | I used to run track, but I didn't make it two feet.
00:05:28 | Before it... before it...
00:05:32 | So...
00:05:34 | before this most recent attack, you hadn't seen the wolf
00:05:37 | in over a month, correct?
00:05:40 | Uh...
00:05:44 | Yeah.
00:05:49 | Hey, Tony, is the, um...
00:05:52 | is the wolf here right now?
00:06:09 | Okay, all right. Here's what we're gonna do:
00:06:11 | I am gonna go get your dad,
00:06:12 | and we are going to talk next steps.
00:06:16 | Okay?
00:06:18 | - Right. - Okay.
00:06:30 | Oh, my God, this is Rohan.
00:06:32 | I mean, I thought it might be because he has the same...
00:06:33 | but I didn't to...
00:06:35 | okay, I'm done.
00:06:37 | - Hi. - Uh, it's so nice to meet you.
00:06:39 | Your dad talks about you all the time.
00:06:41 | He does?
00:06:42 | Okay, thank you. Thank you, Ella.
00:06:45 | Now he's blushing, so this is a disaster.
00:06:48 | I'm gonna go, but I hope I see you again.
00:06:54 | You talk about me?
00:06:56 | Uh, yes.
00:06:57 | I wanted to get you a gift, and Ella was helping me.
00:07:00 | What kind of gift?
00:07:02 | We've not decided, but I didn't want
00:07:04 | to get you something which meant something
00:07:05 | other than what I wanted it to mean.
00:07:08 | Oh, that's...
00:07:10 | that's thoughtful.
00:07:13 | There is something...
00:07:14 | Yes, tell me.
00:07:16 | I told you about the songs I'm writing?
00:07:17 | - Mm-hmm. - Well, I'd love to make a demo,
00:07:19 | and do that, I need to rent a studio.
00:07:23 | I was wondering if you could, you know...
00:07:26 | Give you money?
00:07:30 | I don't think it's a good idea.
00:07:33 | Okay.
00:07:35 | Okay. Baby steps, right?
00:07:44 | - LB. - How's that knee doing?
00:07:47 | - Eh, it's better. - Oh.
00:07:48 | So why are you still here?
00:07:50 | I meant better than bad,
00:07:52 | which is still, you know, not good.
00:07:53 | All right, Andy.
00:07:55 | Why don't you tell me what's really going on?
00:07:59 | My shelter voucher doesn't start till Saturday,
00:08:02 | so I got four days on the streets.
00:08:04 | So I thought...
00:08:06 | We're a hospital, okay?
00:08:08 | You don't warrant an overnight stay.
00:08:09 | Yet. Just do some more digging.
00:08:11 | There's gotta be something else wrong with me.
00:08:13 | I'm a very unhealthy person.
00:08:15 | You paged?
00:08:17 | Uh, yeah.
00:08:18 | Yeah, is, uh, now a bad time?
00:08:20 | For both of you?
00:08:22 | Oh, yeah. What do you got?
00:08:23 | You said you wanted to know the next time a frequent flyer came in.
00:08:26 | Yeah, frequent flyers mean we're not doing our job.
00:08:28 | Oh, well, then you're in luck
00:08:29 | Meet the Amelia Earhart of frequent flyers:
00:08:32 | Andy Keener.
00:08:37 | How can I help?
00:08:39 | Looking good, Dr. Reynolds. Just hold it there.
00:08:43 | Fantastic.
00:08:45 | That's perfect. Thanks, Chris.
00:08:46 | That was great.
00:08:48 | This is going to come together seamlessly.
00:08:50 | I thought Fred Niemens usually does
00:08:51 | the, uh, medical articles?
00:08:53 | My editor thought the personal angle
00:08:56 | would be better for "The Face of Diversity."
00:08:58 | Is that the angle?
00:09:00 | I figured we'd start with a profile on you
00:09:02 | and then talk about how you've put together your department.
00:09:04 | - Okay. - For your profile, I was thinking
00:09:06 | it's a "rags to riches" story.
00:09:07 | I already know the layout.
00:09:09 | Just below the headline, there'll be
00:09:10 | these two pictures of you where you are now
00:09:14 | right next to this:
00:09:19 | I wanna know the details of what led to the mug shot so we can...
00:09:21 | This interview is over.
00:09:22 | Wait...
00:09:28 | Um, sorry, I didn't mean...
00:09:38 | Your chemo bag is making people nervous.
00:09:41 | Yeah, sorry, just one more hour.
00:09:43 | And by "people," I mean me.
00:09:45 | Did you know that Andy Keener has been in this hospital
00:09:48 | over 100 times?
00:09:49 | He's a frequent flyer.
00:09:50 | If my math is correct... and I'm pretty sure
00:09:52 | that it is... Andy Keener has cost New Amsterdam
00:09:54 | $1.4 million dollars this year.
00:10:00 | And we haven't done a thing to help him.
00:10:07 | Andy Keener has rung up over $1 million in charges
00:10:11 | here at New Amsterdam.
00:10:12 | That is enough for 50,000 prenatal visits,
00:10:15 | two liver transplants,
00:10:17 | or, you know, one NBA contract.
00:10:20 | How do we lower this number right there?
00:10:26 | Don't look at me.
00:10:27 | Well, he's had over 30 visits and three surgeries
00:10:29 | for a foot ulcer.
00:10:30 | He walks around all day.
00:10:31 | He can't keep his foot elevated.
00:10:32 | Look, bandages fall off, antibiotic creams get lost.
00:10:35 | Okay, Bloom. ED's number one
00:10:36 | on the hospital encounters hit parade.
00:10:38 | My ED is open 24/7, so if he wants to get out
00:10:41 | of the rain, or snow, or sun, or get a hot meal, then...
00:10:44 | - Got it. - 10 EEGs
00:10:46 | and 18 head CT scans this year alone.
00:10:49 | All indicated and necessary.
00:10:51 | Andy falls, and gets beaten up, and has a withdrawal seizure.
00:10:54 | EMTs bring him in
00:10:55 | and we give him the same evaluation
00:10:57 | we would give to anyone else.
00:10:59 | Yeah, Helen, you can't tell me
00:11:00 | that all these biopsies were necessary.
00:11:02 | Well, if we don't have a patient's family history
00:11:03 | then all concerns have to be taken seriously.
00:11:05 | Psychiatry, help me out.
00:11:07 | There's gotta be a way to save a dollar.
00:11:08 | Just one dollar.
00:11:10 | Uh, no. No can do, Doc.
00:11:11 | Andy suffers from PTSD and depression.
00:11:13 | An abusive childhood will do that to you.
00:11:15 | Not to mention, he is an alcoholic.
00:11:17 | Multiple detox stays.
00:11:19 | Okay, so what everyone is telling me
00:11:21 | is that not only was there no way
00:11:22 | to avoid spending $1.4 million
00:11:25 | on Andy Keener this year, but apparently there's no way
00:11:28 | to avoid spending another $1.4 million
00:11:32 | on Andy Kenner next year?
00:11:37 | Yes?
00:11:38 | Yes, I was hoping to meet Earl.
00:11:40 | Is Earl here? Is he coming later?
00:11:42 | Not here, okay.
00:11:43 | Hey, Max, hold up.
00:11:45 | You got a fix for Andy Keener?
00:11:46 | No, apparently I missed
00:11:48 | the Solve-America's-Homeless- Epidemic class in med school.
00:11:50 | Fair enough.
00:11:51 | All right, so, uh, look... a reporter from
00:11:53 | "The New England Cardiothoracic Journal"
00:11:54 | dug up some dirt on me.
00:11:56 | Some dirt that... that could embarrass the hospital.
00:11:59 | Define "dirt."
00:12:01 | Ten years ago I was arrested and, um...
00:12:04 | she wants to print my mug shot.
00:12:07 | Every time I think this is dead and buried
00:12:09 | it just keeps popping back up in my life,
00:12:10 | and I never wanted to be a burden to you
00:12:12 | or this hospital.
00:12:13 | You're not.
00:12:15 | You wanna tell me what happened?
00:12:17 | Do I have to?
00:12:19 | Well, if I knew the story would I trust you less?
00:12:22 | No.
00:12:23 | Would it make me think less of you as a surgeon?
00:12:25 | No.
00:12:27 | Then I don't need to know, and neither does anybody else.
00:12:31 | I just don't want anyone to think less of me.
00:12:33 | - Patients, colleagues... - They won't.
00:12:35 | - Let's go full chemo on this. - "Full chemo"?
00:12:38 | Let's get legal to bring down the hammer.
00:12:41 | I wanna keep him overnight for observation.
00:12:43 | The, um...
00:12:45 | the delusions are back, full-on.
00:12:48 | I'm... I'm so sorry, Hector.
00:12:54 | This last attack,
00:12:56 | he was screaming.
00:13:01 | Clawing at his throat.
00:13:06 | He thought he was dying.
00:13:09 | My little boy.
00:13:13 | How's he supposed to live like this?
00:13:17 | I mean, what's he gonna do when I'm gone?
00:13:21 | I... I've been reading about, uh,
00:13:24 | "deep brain stimulation"?
00:13:26 | Deep brain stimulation is not designed
00:13:28 | for psychological issues.
00:13:30 | It's for, um... it's for Parkinson's.
00:13:32 | It's people with physical ailments.
00:13:34 | But there's trials happening right now.
00:13:36 | Yes, Hector.
00:13:38 | A... a handful of patients with delusional disorders
00:13:41 | have tried it, but...
